price,rooms,area,floor,total_floors,year,building_type_кирпичный,building_type_монолитный,building_type_панельный
50000000,2,63.0,1.0,3.0,2023.0,0,1,0
31500000,2,40.2,4.0,4.0,1963.0,1,0,0
35500000,1,38.2,5.0,9.0,2025.0,0,1,0
73000000,3,90.0,1.0,3.0,2020.0,0,1,0
31500000,2,59.3,11.0,12.0,2020.0,0,1,0
55500000,3,64.8,5.0,5.0,1989.0,0,0,1
38000000,1,40.0,2.0,5.0,1992.0,0,0,1
31700000,3,80.0,1.0,3.0,1939.0,1,0,0
42000000,3,58.5,1.0,5.0,1987.0,0,0,1
14000000,1,22.0,5.0,5.0,1985.0,1,0,0
41500000,2,51.0,8.0,12.0,2024.0,0,1,0
33800000,2,50.0,3.0,5.0,2025.0,0,1,0
40000000,3,81.0,8.0,9.0,2022.0,0,0,0
64000000,3,131.0,16.0,18.0,2010.0,0,1,0
33850000,2,50.3,9.0,13.0,2025.0,0,1,0
39500000,3,68.5,1.0,5.0,1990.0,0,0,1
47999999,2,68.4,5.0,10.0,2016.0,0,1,0
70000000,3,72.4,2.0,9.0,1992.0,1,0,0
27000000,1,45.5,3.0,6.0,2025.0,0,1,0
22000000,1,34.9,8.0,10.0,2008.0,0,1,0
35000000,2,56.0,7.0,10.0,2022.0,0,1,0
62000000,3,55.3,4.0,4.0,1962.0,1,0,0
52000000,3,80.0,1.0,9.0,1989.0,0,0,1
65000000,3,94.0,2.0,3.0,2021.0,0,1,0
54000000,2,71.0,14.0,16.0,2026.0,0,1,0
70000000,3,70.4,11.0,15.0,2015.0,0,1,0
57000000,3,98.0,9.0,9.0,2006.0,0,1,0
42000000,3,62.2,1.0,4.0,1966.0,1,0,0
107000000,2,123.5,1.0,5.0,2010.0,0,1,0
36000000,2,56.7,2.0,9.0,2020.0,0,1,0
27900000,2,56.7,1.0,2.0,1958.0,1,0,0
38000000,3,76.0,5.0,6.0,2019.0,0,1,0
80000000,3,85.0,8.0,12.0,2023.0,0,0,1
25000000,2,33.0,6.0,6.0,2016.0,0,1,0
39500000,1,38.1,8.0,12.0,2023.0,0,1,0
32500000,2,57.4,4.0,12.0,2025.0,0,1,0
189000000,3,159.0,3.0,3.0,2020.0,0,1,0
32500000,1,33.0,15.0,16.0,2023.0,0,1,0
37000000,2,46.1,3.0,4.0,1964.0,0,0,1
71000000,2,70.4,2.0,17.0,2022.0,0,1,0
40000000,3,67.9,4.0,5.0,1981.0,0,0,1
45000000,2,62.3,18.0,20.0,2024.0,0,1,0
38500000,2,58.7,4.0,12.0,2018.0,0,1,0
110000000,2,86.0,7.0,32.0,2020.0,0,0,0
56000000,4,85.2,5.0,5.0,1985.0,0,0,1
49000000,3,101.1,3.0,10.0,2022.0,0,1,0
42000000,3,60.9,3.0,4.0,1969.0,0,0,1
38000000,2,70.0,3.0,9.0,2020.0,0,1,0
75000000,3,80.0,10.0,19.0,2024.0,0,0,0
42000000,2,62.0,4.0,12.0,2023.0,0,1,0
25000000,2,50.0,1.0,5.0,2024.0,0,1,0
62000000,3,90.0,1.0,9.0,2023.0,0,1,0
49000000,3,65.7,1.0,5.0,1975.0,0,0,1
49000000,3,65.7,1.0,5.0,1975.0,0,0,1
95500000,3,98.6,1.0,16.0,2022.0,0,1,0
26500000,1,47.5,2.0,3.0,1973.0,0,0,1
68000000,2,44.0,3.0,9.0,2025.0,0,1,0
22000000,1,36.9,1.0,3.0,2023.0,0,0,0
30500000,2,44.1,2.0,4.0,1968.0,0,0,1
32800000,2,63.0,2.0,5.0,2016.0,0,1,0
60000000,3,86.0,3.0,4.0,2024.0,0,1,0
50000000,2,56.0,11.0,12.0,2018.0,0,1,0
55000000,2,46.6,4.0,16.0,2025.0,0,1,0
26500000,2,53.0,3.0,5.0,2023.0,0,1,0
31500000,2,52.8,5.0,5.0,1976.0,0,1,0
60000000,4,76.0,4.0,5.0,1975.0,0,0,0
61500000,2,60.0,2.0,10.0,2024.0,0,0,0
17500000,1,23.0,4.0,9.0,2008.0,0,1,0
43000000,3,85.6,4.0,5.0,1989.0,0,0,1
273800000,4,190.0,1.0,3.0,2022.0,0,1,0
42940000,2,48.0,4.0,12.0,2025.0,0,1,0
56500000,2,54.1,1.0,20.0,2024.0,0,1,0
55000000,3,84.6,12.0,16.0,2023.0,0,1,0
33500000,1,38.0,5.0,5.0,2023.0,0,1,0
68000000,2,46.8,4.0,9.0,2025.0,0,1,0
42000000,2,70.0,4.0,9.0,2025.0,0,1,0
47500000,2,60.0,5.0,6.0,2025.0,0,1,0
38000000,2,50.0,6.0,12.0,2024.0,0,1,0
55000000,2,48.0,2.0,10.0,2021.0,0,1,0
46000000,2,70.0,7.0,7.0,2022.0,0,1,0
28500000,1,45.0,10.0,12.0,2022.0,0,1,0
55500000,3,86.0,3.0,5.0,2008.0,1,0,0
60000000,2,99.9,15.0,15.0,2007.0,0,1,0
42000000,2,53.63,6.0,6.0,2025.0,0,1,0
35000000,2,63.1,13.0,16.0,2010.0,0,1,0
46000000,2,51.0,3.0,5.0,1987.0,1,0,0
22500000,1,34.7,1.0,3.0,2022.0,0,1,0
30000000,2,63.3,6.0,6.0,2010.0,0,1,0
23000000,1,36.0,5.0,5.0,2013.0,0,0,0
29000000,1,40.0,2.0,4.0,2026.0,0,1,0
31000000,2,38.6,4.0,4.0,1962.0,1,0,0
87000000,3,88.0,11.0,12.0,2024.0,0,1,0
26000000,1,39.2,8.0,9.0,2026.0,0,1,0
73000000,3,71.0,3.0,9.0,1988.0,0,0,1
29999999,2,53.0,8.0,10.0,2022.0,0,1,0
35000000,2,55.0,6.0,12.0,2025.0,0,1,0
85000000,3,80.0,7.0,20.0,2024.0,0,1,0
32500000,2,64.0,7.0,7.0,2014.0,0,1,0
81000000,3,75.0,7.0,9.0,1972.0,0,0,1
38000000,2,56.6,3.0,8.0,2021.0,0,1,0
25000000,2,51.0,4.0,4.0,1986.0,0,0,1
35000000,2,59.2,12.0,12.0,2020.0,0,1,0
35000000,2,50.5,1.0,6.0,2024.0,0,1,0
35500000,2,53.2,1.0,6.0,2021.0,1,0,0
48500000,2,55.8,12.0,14.0,2023.0,0,1,0
114500000,3,133.0,4.0,6.0,2010.0,0,1,0
26500000,2,55.0,9.0,9.0,2014.0,0,1,0
53000000,3,70.6,4.0,9.0,2023.0,0,1,0
82000000,3,84.0,12.0,16.0,2024.0,0,1,0
82000000,3,84.0,12.0,16.0,2024.0,0,1,0
53000000,2,49.0,14.0,18.0,2023.0,0,1,0
63000000,2,62.3,16.0,16.0,2024.0,0,1,0
35000000,1,30.0,15.0,16.0,2023.0,0,1,0
14000000,1,23.0,1.0,2.0,2020.0,0,1,0
30000000,2,63.4,9.0,9.0,2016.0,0,1,0
19900000,1,30.0,1.0,5.0,2025.0,0,1,0
42000000,2,46.8,6.0,9.0,2026.0,0,1,0
95500000,3,92.8,5.0,16.0,2021.0,0,1,0
56500000,2,64.0,4.0,12.0,2024.0,0,0,0
71000000,3,91.0,6.0,9.0,2023.0,0,1,0
70500000,3,70.9,16.0,16.0,2022.0,0,1,0
41000000,2,62.0,1.0,9.0,2020.0,0,1,0
30000000,1,58.0,2.0,12.0,2012.0,0,0,0
31000000,1,40.0,4.0,9.0,2026.0,0,1,0
80000000,3,92.0,2.0,12.0,2026.0,0,1,0
37500000,2,70.0,1.0,6.0,2024.0,0,1,0
57000000,3,82.6,11.0,14.0,2025.0,0,1,0
61000000,2,54.9,2.0,9.0,2025.0,0,0,0
38500000,2,92.0,13.0,16.0,2012.0,0,1,0
27000000,2,47.5,6.0,10.0,2020.0,0,0,0
40500000,3,85.0,16.0,16.0,2015.0,0,1,0
85000000,3,70.3,12.0,13.0,2023.0,0,1,0
50000000,3,70.0,8.0,8.0,1982.0,0,1,0
29000000,1,43.0,9.0,10.0,2005.0,0,1,0
